annual_income,debt_to_income_ratio,financial_knowledge_score,investment_horizon_years,savings_rate,net_worth,recommended_strategy,adjusted_income,long_term_risk,wealth_growth_potential,income_stability_score,family_responsibility_score
84204.63,0.27,10,28,0.16,469256.84,2,61469.3799,56,75081.0944,84204.63,0
55946.45,0.36,3,13,0.25,461326.7,1,35805.727999999996,0,115331.675,0.0,0
91161.29,0.59,2,25,0.13,261528.91,1,37376.1289,50,33998.7583,273483.87,75
133507.41,0.27,8,24,0.18,416456.58,2,97460.4093,0,74962.1844,0.0,0
77180.28,0.3,1,4,0.09,320619.49,2,54026.195999999996,4,28855.7541,154360.56,8
106071.56,0.21,5,4,0.26,800727.96,1,83796.5324,4,208189.2696,0.0,12
83506.9,0.32,9,20,0.1,598416.84,2,56784.69199999999,40,59841.684,83506.9,40
64712.92,0.37,10,20,0.18,371095.41,0,40769.1396,20,66797.17379999999,194138.76,0
81419.58,0.3,1,6,0.15,588589.0,0,56993.706,6,88288.34999999999,162839.16,18
91268.53,0.46,3,20,0.11,427216.93,1,49285.0062,40,46993.8623,0.0,40
61336.28,0.27,4,18,0.07,333760.57,2,44775.4844,0,23363.239900000004,122672.56,54
130228.26,0.3,4,28,0.19,1252588.94,2,91159.78199999999,0,237991.8986,0.0,56
74086.02,0.32,8,7,0.13,330597.16,2,50378.4936,0,42977.6308,74086.02,21
69416.37,0.19,4,7,0.13,452712.36,2,56227.2597,0,58852.6068,0.0,0
99696.54,0.29,10,10,0.13,319616.73,1,70784.5434,10,41550.1749,299089.62,10
97373.25,0.18,10,6,0.14,228409.37,2,79846.065,0,31977.311800000003,292119.75,18
68236.02,0.27,2,10,0.22,319933.25,1,49812.2946,20,70385.315,68236.02,0
74300.76,0.5,3,20,0.07,612792.95,2,37150.38,0,42895.5065,74300.76,20
48827.17,0.55,2,28,0.24,184240.09,1,21972.226499999997,56,44217.6216,48827.17,0
55582.65,0.59,5,10,0.28,440899.43,1,22788.8865,20,123451.84040000002,55582.65,0
93953.62,0.27,7,9,0.16,916665.67,1,68586.14259999999,18,146666.50720000002,187907.24,27
41679.8,0.42,7,11,0.18,307415.58,1,24174.284000000003,22,55334.8044,125039.40000000001,0
73067.69,0.3,1,18,0.21,374221.12,1,51147.383,36,78586.43519999999,0.0,54
56108.08,0.27,1,13,0.23,475315.02,2,40958.8984,13,109322.45460000001,112216.16,26
33444.12,0.57,2,4,0.3,257255.62,2,14380.971600000003,0,77176.686,0.0,0
102807.31,0.5,5,17,0.21,898156.56,1,51403.655,34,188612.8776,102807.31,51
65788.69,0.59,7,26,0.12,317242.78,1,26973.362900000004,26,38069.1336,197366.07,0
98278.16,0.46,10,3,0.18,633989.66,1,53070.2064,3,114118.1388,196556.32,0
81374.62,0.54,5,20,0.29,695120.16,0,37432.32519999999,40,201584.8464,0.0,60
60360.84,0.24,8,4,0.11,216130.89,2,45874.238399999995,8,23774.3979,181082.52,0
40103.37,0.53,10,29,0.28,371660.77,2,18848.5839,58,104065.01560000001,0.0,58
88620.17,0.17,10,9,0.06,816832.8,2,73554.7411,18,49009.968,177240.34,18
81496.96,0.46,10,11,0.15,283366.37,1,44008.358400000005,22,42504.9555,244490.88,11
89154.03,0.31,8,5,0.18,436826.11,0,61516.280699999996,5,78628.69979999999,267462.08999999997,15
113799.79,0.36,8,18,0.08,1049035.21,1,72831.8656,36,83922.8168,113799.79,0
117978.5,0.2,1,11,0.29,922056.06,2,94382.8,11,267396.2574,235957.0,33
40016.42,0.37,1,5,0.1,94436.66,0,25210.3446,0,9443.666000000001,120049.26,0
45958.47,0.39,9,21,0.05,175777.46,2,28034.6667,42,8788.873,45958.47,0
75318.93,0.26,2,8,0.19,550559.24,1,55736.0082,8,104606.2556,225956.78999999998,8
37373.2,0.29,3,21,0.07,108579.31,2,26534.971999999998,21,7600.551700000001,0.0,42
51664.52,0.32,3,21,0.28,340792.98,1,35131.87359999999,21,95422.0344,51664.52,42
77037.68,0.35,4,17,0.18,595081.96,1,50074.492,34,107114.75279999999,154075.36,0
98641.52,0.49,9,9,0.25,649272.61,1,50307.175200000005,18,162318.1525,197283.04,9
63251.56,0.19,8,7,0.28,412627.49,0,51233.7636,0,115535.69720000001,63251.56,21
54223.8,0.37,4,13,0.16,304244.22,1,34160.994,0,48679.0752,162671.40000000002,39
65638.73,0.55,3,25,0.17,447726.76,1,29537.428499999995,50,76113.54920000001,131277.46,25
105919.3,0.12,7,3,0.1,987894.69,1,93208.984,6,98789.469,105919.3,0
33963.96,0.11,7,11,0.16,188578.41,0,30227.9244,0,30172.5456,33963.96,33
69822.58,0.38,4,10,0.27,556240.32,1,43289.9996,20,150184.8864,209467.74,10
81080.0,0.28,6,12,0.15,650765.42,1,58377.6,24,97614.81300000001,243240.0,36
74188.21,0.55,10,29,0.1,312313.47,1,33384.6945,0,31231.346999999998,74188.21,58
92418.95,0.19,4,11,0.27,265510.51,1,74859.3495,11,71687.8377,277256.85,0
66353.06,0.32,6,7,0.12,655069.03,1,45120.080799999996,7,78608.2836,0.0,14
80776.45,0.56,7,16,0.11,493447.42,1,35541.63799999999,16,54279.216199999995,161552.9,48
96238.05,0.13,9,17,0.24,857137.87,2,83727.1035,34,205713.0888,288714.15,17
110556.46,0.38,1,25,0.21,234931.4,1,68545.0052,50,49335.594,221112.92,50
100384.54,0.28,4,27,0.11,641509.68,1,72276.8688,54,70566.06480000001,301153.62,81
74164.9,0.39,3,17,0.25,219022.71,2,45240.58899999999,34,54755.6775,74164.9,17
78842.44,0.13,7,20,0.24,648700.98,0,68592.9228,40,155688.2352,236527.32,60
101467.38,0.41,4,13,0.21,322210.07,1,59865.75420000001,26,67664.1147,0.0,0
65022.75,0.42,9,21,0.24,296912.5,1,37713.19500000001,0,71259.0,0.0,21
64625.57,0.2,7,25,0.2,361206.58,1,51700.456000000006,0,72241.316,193876.71,25
81221.11,0.25,4,21,0.11,390274.63,2,60915.832500000004,0,42930.2093,0.0,21
94478.9,0.31,9,21,0.1,928488.91,2,65190.44099999999,21,92848.891,283436.69999999995,42
76817.17,0.52,7,13,0.27,414201.93,1,36872.2416,0,111834.52110000001,0.0,39
85465.54,0.28,9,9,0.28,198283.08,0,61535.188799999996,18,55519.2624,170931.08,18
114762.04,0.23,5,26,0.15,1061729.11,1,88366.7708,52,159259.3665,0.0,0
50351.34,0.1,1,25,0.15,481797.81,2,45316.206,25,72269.6715,50351.34,0
43976.96,0.4,5,22,0.1,313317.11,1,26386.176,22,31331.711,131930.88,66
102639.02,0.55,2,22,0.26,829268.44,1,46187.558999999994,44,215609.79439999998,307917.06,66
74246.85,0.14,1,27,0.23,492743.29,2,63852.291000000005,0,113330.9567,148493.7,81
76079.53,0.24,3,29,0.24,220147.45,0,57820.4428,29,52835.388,0.0,87
68577.75,0.4,3,8,0.09,162740.42,1,41146.65,8,14646.6378,205733.25,8
64646.94,0.57,10,24,0.25,397335.49,0,27798.184200000003,24,99333.8725,0.0,72
35966.43,0.59,3,18,0.18,309411.46,1,14746.2363,36,55694.0628,0.0,54
94990.94,0.16,6,13,0.1,434405.6,0,79792.3896,0,43440.56,0.0,0
53433.34,0.43,6,15,0.07,233934.82,1,30457.003800000002,30,16375.437400000003,0.0,45
62475.22,0.29,3,21,0.27,224064.69,1,44357.4062,42,60497.46630000001,187425.66,42
73991.71,0.25,8,14,0.28,195078.14,1,55493.7825,14,54621.87920000001,0.0,0
63146.24,0.55,4,19,0.11,179612.73,1,28415.807999999997,19,19757.4003,189438.72,19
58001.6,0.28,10,13,0.28,382583.24,0,41761.151999999995,13,107123.30720000001,174004.8,26
83240.64,0.15,5,11,0.19,448910.05,1,70754.544,11,85292.9095,249721.91999999998,33
61705.91,0.1,10,11,0.12,438921.87,0,55535.319,11,52670.6244,61705.91,11
43542.59,0.33,4,29,0.27,388726.11,1,29173.535299999996,0,104956.0497,87085.18,58
51705.83,0.29,4,27,0.17,251997.48,2,36711.1393,54,42839.5716,155117.49,54
122479.63,0.35,7,7,0.19,389422.94,0,79611.7595,7,73990.3586,244959.26,7
119457.02,0.38,8,20,0.23,454669.61,0,74063.3524,20,104574.0103,0.0,0
95019.18,0.3,6,9,0.22,411431.97,1,66513.42599999999,18,90515.0334,285057.54,9
79675.62,0.13,4,23,0.06,349416.08,2,69317.7894,46,20964.9648,159351.24,69
36880.66,0.58,4,28,0.29,302551.12,0,15489.877200000003,56,87739.82479999999,110641.98000000001,0
36354.91,0.41,1,11,0.12,98727.08,1,21449.396900000003,0,11847.2496,0.0,11
107938.74,0.23,8,11,0.19,797138.78,1,83112.8298,22,151456.3682,107938.74,0
92822.53,0.17,3,25,0.28,503456.08,0,77042.69989999999,50,140967.7024,0.0,25
77082.89,0.44,5,9,0.1,360385.22,0,43166.4184,18,36038.522,231248.66999999998,27
56629.58,0.29,6,26,0.22,507316.33,2,40207.0018,0,111609.5926,56629.58,52
70969.98,0.38,7,23,0.24,406548.99,1,44001.387599999995,46,97571.7576,70969.98,0
102362.33,0.16,2,15,0.23,276362.08,2,85984.3572,30,63563.2784,204724.66,45
79728.32,0.12,8,9,0.25,266361.36,2,70160.9216,18,66590.34,239184.96000000002,9
119650.91,0.51,3,24,0.23,1086552.21,0,58628.9459,24,249907.00830000002,0.0,24
78681.16,0.44,8,11,0.07,529493.21,1,44061.44960000001,22,37064.5247,157362.32,22
92964.08,0.41,5,18,0.28,428526.61,0,54848.80720000001,0,119987.4508,0.0,36
63443.41,0.51,3,25,0.13,555347.33,0,31087.2709,50,72195.1529,126886.82,75
45141.59,0.21,7,16,0.12,196912.08,0,35661.8561,16,23629.449599999996,45141.59,48
67393.49,0.1,7,19,0.19,295318.69,2,60654.141,38,56110.551100000004,202180.47000000003,38
39339.7,0.53,1,24,0.2,327232.51,1,18489.658999999996,48,65446.50200000001,0.0,0
57477.51,0.55,3,18,0.06,403787.01,1,25864.8795,18,24227.2206,0.0,18
84225.87,0.57,8,5,0.19,456161.47,0,36217.1241,10,86670.67929999999,168451.74,5
113878.43,0.23,8,28,0.17,680371.22,1,87686.3911,56,115663.10740000001,341635.29,56
84875.09,0.54,3,25,0.22,337497.86,2,39042.541399999995,0,74249.5292,169750.18,0
76242.44,0.41,10,26,0.28,279483.57,1,44983.03960000001,52,78255.3996,76242.44,26
61398.89,0.19,9,29,0.15,321818.23,1,49733.100900000005,0,48272.7345,0.0,58
97715.26,0.13,6,18,0.13,400211.43,1,85012.2762,0,52027.4859,97715.26,18
84636.74,0.32,9,10,0.11,809485.19,1,57552.983199999995,10,89043.3709,0.0,30
49815.61,0.38,10,17,0.25,402845.55,1,30885.6782,17,100711.3875,49815.61,17
92139.42,0.43,4,15,0.16,761557.78,1,52519.4694,0,121849.2448,276418.26,45
69595.41,0.36,6,14,0.13,487431.47,0,44541.0624,14,63366.0911,69595.41,28
94634.06,0.23,2,15,0.1,498684.62,0,72868.2262,15,49868.462,0.0,30
42626.14,0.15,6,16,0.21,312416.32,2,36232.219,32,65607.4272,42626.14,32
103204.4,0.36,7,23,0.1,437833.96,0,66050.81599999999,46,43783.39600000001,206408.8,46
52107.49,0.42,2,22,0.19,374988.64,1,30222.344200000003,0,71247.8416,104214.98,66
68836.68,0.18,1,23,0.2,403964.07,1,56446.0776,0,80792.81400000001,68836.68,46
60942.24,0.23,9,21,0.08,412973.45,1,46925.5248,21,33037.876000000004,60942.24,63
91401.87,0.3,5,4,0.23,475663.18,1,63981.308999999994,4,109402.5314,182803.74,12
2378.67,0.32,1,22,0.15,14532.25,1,1617.4956,44,2179.8375,7136.01,0
73508.65,0.16,6,19,0.12,459900.85,0,61747.265999999996,38,55188.10199999999,73508.65,19
96646.23,0.17,9,27,0.3,818590.54,0,80216.3709,54,245577.162,289938.69,81
37820.31,0.14,7,27,0.28,314018.78,1,32525.466599999996,27,87925.25840000002,75640.62,81
36215.28,0.52,4,7,0.06,306102.37,1,17383.3344,14,18366.1422,0.0,21
71784.1,0.43,1,7,0.22,534546.89,1,40916.937000000005,14,117600.3158,143568.2,7
41308.06,0.42,7,11,0.28,289778.29,1,23958.6748,22,81137.9212,123924.18,0
101057.34,0.23,7,11,0.21,428013.64,2,77814.15179999999,22,89882.8644,0.0,22
78495.55,0.4,9,25,0.06,324898.89,1,47097.33,25,19493.9334,78495.55,50
44591.81,0.31,6,13,0.12,361260.12,0,30768.348899999997,26,43351.2144,0.0,26
86202.1,0.22,5,26,0.24,754440.57,2,67237.638,26,181065.73679999998,0.0,78
67489.9,0.19,6,20,0.24,644770.41,2,54666.818999999996,40,154744.8984,134979.8,0
53030.36,0.52,8,18,0.14,502858.14,1,25454.572799999998,0,70400.13960000001,106060.72,36
44288.22,0.32,9,7,0.07,238690.19,1,30115.989599999997,7,16708.3133,0.0,0
30966.94,0.2,9,23,0.24,212066.77,1,24773.552,23,50896.0248,61933.88,0
70238.97,0.38,9,10,0.26,181693.81,1,43548.1614,20,47240.3906,210716.91,30
96916.81,0.59,2,7,0.13,336720.29,1,39735.892100000005,7,43773.6377,96916.81,0
73528.14,0.22,9,17,0.28,621951.56,2,57351.9492,34,174146.43680000002,220584.41999999998,0
53207.58,0.44,5,9,0.14,355363.6,1,29796.244800000004,18,49750.904,53207.58,27
21037.43,0.49,7,27,0.26,198891.43,2,10729.0893,54,51711.7718,21037.43,27
96930.54,0.5,5,8,0.16,831792.17,2,48465.27,16,133086.7472,193861.08,0
110306.64,0.59,8,5,0.24,548046.42,1,45225.722400000006,5,131531.1408,330919.92,0
64936.19,0.42,7,10,0.15,304630.87,2,37662.99020000001,20,45694.6305,0.0,20
82365.71,0.17,3,7,0.24,299068.78,2,68363.5393,14,71776.50720000001,0.0,0
77581.71,0.16,9,24,0.23,257222.8,0,65168.6364,0,59161.244,0.0,48
96372.48,0.55,7,16,0.21,689238.22,1,43367.615999999995,0,144740.0262,96372.48,0
90575.87,0.52,1,18,0.21,291069.21,1,43476.41759999999,0,61124.534100000004,90575.87,36
117190.69,0.48,2,8,0.21,703044.87,1,60939.158800000005,16,147639.4227,117190.69,8
67756.31,0.39,4,27,0.13,410664.76,2,41331.3491,27,53386.4188,135512.62,54
16558.21,0.41,10,11,0.13,62679.01,1,9769.343900000002,0,8148.2713,16558.21,22
89393.46,0.23,8,13,0.08,399913.31,1,68832.9642,0,31993.0648,268180.38,0
127043.79,0.43,5,19,0.25,1262052.3,1,72414.9603,38,315513.075,381131.37,0
72896.8,0.42,9,3,0.06,427696.51,0,42280.14400000001,6,25661.7906,0.0,6
63271.94,0.1,9,14,0.29,349716.83,1,56944.74600000001,28,101417.8807,63271.94,14
86284.33,0.4,6,6,0.13,528108.56,0,51770.598,12,68654.1128,172568.66,0
62492.21,0.54,5,28,0.29,568629.46,2,28746.416599999997,0,164902.54339999997,62492.21,0
38158.82,0.47,1,27,0.22,98651.54,1,20224.174600000002,54,21703.338799999998,114476.45999999999,54
112893.6,0.18,9,11,0.21,427354.26,1,92572.75200000001,22,89744.3946,338680.80000000005,22
84960.37,0.52,2,8,0.29,815701.74,2,40780.9776,16,236553.5046,0.0,24
74113.89,0.28,6,6,0.09,219031.61,1,53362.000799999994,6,19712.844899999996,148227.78,6
43707.28,0.27,9,23,0.11,419667.45,1,31906.3144,46,46163.4195,131121.84,46
103032.55,0.48,7,3,0.22,580386.24,1,53576.92600000001,6,127684.9728,0.0,9
43239.35,0.28,3,12,0.28,210125.24,1,31132.332,24,58835.067200000005,0.0,0
85724.56,0.12,6,26,0.13,316839.75,2,75437.6128,0,41189.1675,171449.12,0
87661.92,0.2,4,14,0.24,562390.86,1,70129.53600000001,0,134973.8064,87661.92,0
28398.83,0.45,8,10,0.15,189222.3,1,15619.356500000002,0,28383.344999999998,56797.66,0
50305.88,0.38,2,14,0.07,424995.91,1,31189.6456,28,29749.7137,150917.63999999998,0
91207.21,0.51,4,6,0.26,860799.04,0,44691.532900000006,12,223807.75040000002,273621.63,6
114681.81,0.4,9,3,0.27,768251.57,1,68809.086,6,207427.9239,0.0,0
63275.92,0.15,9,25,0.11,423984.07,2,53784.532,0,46638.2477,126551.84,50
51212.72,0.42,7,6,0.08,244590.97,2,29703.377600000003,12,19567.2776,0.0,6
75338.27,0.37,4,27,0.06,488710.39,2,47463.110100000005,0,29322.6234,0.0,27
72664.67,0.45,7,24,0.09,660256.87,1,39965.5685,0,59423.118299999995,217994.01,24
89112.98,0.11,10,19,0.08,499244.91,2,79310.55219999999,0,39939.5928,178225.96,57
76658.49,0.24,1,21,0.28,487707.21,1,58260.4524,21,136558.01880000002,0.0,63
45022.1,0.35,4,15,0.24,93693.02,2,29264.365,30,22486.3248,135066.3,45
74338.44,0.17,3,22,0.25,480421.45,2,61700.9052,44,120105.3625,223015.32,44
59713.62,0.35,3,12,0.27,307632.18,1,38813.853,12,83060.68860000001,179140.86000000002,12
51784.29,0.56,10,10,0.05,434018.59,2,22785.0876,10,21700.929500000002,103568.58,30
91975.2,0.44,1,13,0.29,570099.89,0,51506.112,26,165328.9681,183950.4,13
67211.78,0.16,3,29,0.09,335908.32,0,56457.8952,0,30231.7488,67211.78,58
22064.48,0.35,2,14,0.06,107278.08,1,14341.912,28,6436.6848,22064.48,42
116449.92,0.23,6,15,0.23,365295.13,0,89666.4384,15,84017.8799,116449.92,30
61407.48,0.46,8,26,0.28,462350.47,1,33160.03920000001,52,129458.13160000001,184222.44,26
29273.82,0.14,2,7,0.07,225478.21,1,25175.4852,7,15783.4747,29273.82,7
71817.77,0.58,9,12,0.22,465511.91,1,30163.463400000004,12,102412.62019999999,215453.31,12
66601.5,0.3,6,23,0.3,651828.84,0,46621.049999999996,23,195548.65199999997,0.0,69
85236.56,0.42,7,6,0.1,369048.84,1,49437.20480000001,12,36904.884000000005,255709.68,12
100432.71,0.46,6,12,0.16,224390.64,1,54233.663400000005,24,35902.502400000005,0.0,24
86758.65,0.45,10,13,0.12,546277.69,1,47717.2575,13,65553.3228,0.0,13
114706.32,0.43,4,3,0.08,310345.55,2,65382.60240000001,6,24827.644,344118.96,0
148024.48,0.22,3,11,0.19,325837.41,1,115459.09440000002,22,61909.107899999995,444073.44000000006,22
85658.92,0.38,6,21,0.08,384385.15,2,53108.530399999996,0,30750.812,0.0,63
47951.04,0.48,8,27,0.28,200049.03,1,24934.540800000002,54,56013.72840000001,95902.08,27
119108.69,0.26,7,24,0.27,781673.07,1,88140.4306,48,211051.7289,357326.07,24
54433.61,0.38,3,27,0.25,544213.18,1,33748.8382,27,136053.295,0.0,0
110404.33,0.35,9,7,0.05,616967.06,2,71762.81450000001,7,30848.353000000003,331212.99,7
88623.95,0.46,2,20,0.19,540946.72,1,47856.933000000005,20,102779.8768,0.0,0
104189.36,0.21,4,6,0.26,791426.49,1,82309.5944,0,205770.8874,312568.08,12
92511.8,0.47,5,20,0.13,754538.58,1,49031.254,0,98090.0154,0.0,40
122398.1,0.43,9,6,0.26,293099.25,1,69766.91700000002,6,76205.80500000001,244796.2,0
74466.12,0.26,7,10,0.1,676298.09,1,55104.928799999994,0,67629.809,0.0,30
68971.53,0.28,6,14,0.08,361375.0,1,49659.501599999996,28,28910.0,68971.53,28
112484.3,0.43,8,14,0.19,382243.73,1,64116.05100000001,0,72626.3087,112484.3,42
82200.32,0.34,1,27,0.09,779154.67,1,54252.2112,0,70123.9203,0.0,27
34659.81,0.4,10,23,0.06,204217.91,1,20795.886,0,12253.0746,103979.43,0
35286.53,0.13,3,22,0.1,138244.86,0,30699.2811,44,13824.485999999999,0.0,0
25254.8,0.3,2,29,0.24,91080.84,1,17678.359999999997,29,21859.401599999997,50509.6,87
72054.51,0.58,7,12,0.17,275061.88,0,30262.894200000002,24,46760.51960000001,144109.02,12
53199.0,0.34,6,5,0.29,396052.27,1,35111.34,5,114855.1583,53199.0,10
72900.0,0.46,5,10,0.07,675196.12,1,39366.0,20,47263.72840000001,218700.0,10
73809.82,0.35,7,3,0.22,409831.0,1,47976.38300000001,0,90162.82,221429.46000000002,3
93176.15,0.24,4,29,0.13,586335.29,2,70813.874,58,76223.5877,93176.15,58
104058.95,0.37,10,5,0.07,962112.97,0,65557.1385,0,67347.9079,208117.9,10
64226.58,0.6,5,10,0.15,227379.74,2,25690.632,20,34106.960999999996,0.0,10
44983.66,0.16,9,14,0.15,339376.26,2,37786.2744,14,50906.439,89967.32,42
59872.35,0.29,6,27,0.25,122000.73,0,42509.3685,27,30500.1825,0.0,27
81203.92,0.59,3,20,0.21,499002.21,1,33293.6072,40,104790.4641,243611.76,20
8229.2,0.38,8,26,0.24,40137.72,1,5102.104,26,9633.0528,16458.4,0
64960.79,0.38,2,8,0.17,215589.92,2,40275.6898,16,36650.286400000005,194882.37,8
76138.93,0.59,5,14,0.13,740757.18,1,31216.9613,28,96298.43340000001,0.0,0
20989.05,0.48,7,10,0.17,89815.08,1,10914.306,10,15268.563600000001,0.0,0
65339.46,0.39,5,15,0.29,511036.34,1,39857.0706,0,148200.5386,65339.46,15
59594.16,0.46,7,14,0.1,263134.22,1,32180.846400000006,14,26313.422,0.0,0
93376.19,0.11,10,4,0.18,420265.71,2,83104.8091,8,75647.8278,93376.19,0
78657.94,0.2,7,24,0.06,369722.29,1,62926.352000000006,0,22183.337399999997,157315.88,72
61850.78,0.58,3,14,0.11,452759.57,1,25977.3276,28,49803.5527,0.0,28
68446.35,0.25,4,7,0.27,452746.55,1,51334.762500000004,14,122241.56850000001,205339.05000000002,21
75107.74,0.35,7,18,0.09,613772.32,1,48820.031,18,55239.508799999996,75107.74,0
91254.72,0.12,9,27,0.22,676352.46,2,80304.1536,54,148797.5412,273764.16000000003,54
98321.25,0.42,2,8,0.26,761768.26,2,57026.325000000004,16,198059.7476,196642.5,16
106980.21,0.17,8,18,0.24,767856.19,1,88793.57430000001,36,184285.48559999999,320940.63,18
74015.53,0.6,1,28,0.1,687538.17,1,29606.212,56,68753.81700000001,222046.59,0
18876.73,0.28,8,22,0.1,140539.69,0,13591.245599999998,44,14053.969000000001,56630.19,66
34334.41,0.38,9,10,0.28,327636.91,2,21287.3342,20,91738.3348,0.0,30
63030.03,0.44,8,23,0.25,470253.76,1,35296.8168,46,117563.44,126060.06,46
57081.61,0.12,9,3,0.14,467805.98,0,50231.8168,3,65492.8372,0.0,9
75787.41,0.21,7,27,0.24,683344.85,1,59872.053900000006,27,164002.764,0.0,0
76448.79,0.39,8,21,0.07,520385.04,0,46633.7619,21,36426.9528,0.0,42
61724.39,0.21,9,10,0.1,601115.76,2,48762.2681,10,60111.576,0.0,20
89325.07,0.44,2,20,0.16,765348.84,1,50022.03920000001,20,122455.8144,178650.14,40
98149.67,0.22,3,25,0.1,202948.6,1,76556.7426,0,20294.86,196299.34,75
95916.82,0.56,3,3,0.27,556478.65,2,42203.400799999996,6,150249.2355,287750.46,0
24089.8,0.18,2,16,0.22,171909.64,1,19753.636000000002,32,37820.120800000004,24089.8,0
88794.02,0.3,2,23,0.27,852796.9,0,62155.814,46,230255.16300000003,88794.02,23
65202.17,0.22,4,11,0.15,470224.11,1,50857.6926,0,70533.61649999999,0.0,0
88022.56,0.56,6,27,0.17,601766.77,2,38729.9264,0,102300.3509,264067.68,54
61908.97,0.37,10,15,0.25,137254.38,2,39002.6511,30,34313.595,0.0,15
65167.16,0.16,5,27,0.16,205161.92,1,54740.4144,27,32825.9072,0.0,54
75961.49,0.13,5,16,0.05,180817.98,1,66086.4963,16,9040.899000000001,227884.47000000003,16
74120.96,0.34,2,10,0.16,679346.2,0,48919.8336,20,108695.39199999999,74120.96,0
103015.38,0.1,5,22,0.07,574460.21,1,92713.842,44,40212.214700000004,103015.38,66
89513.03,0.43,7,11,0.09,524462.24,1,51022.42710000001,22,47201.601599999995,0.0,33
64602.5,0.23,7,22,0.08,525591.5,1,49743.925,44,42047.32,0.0,0
70537.19,0.31,3,28,0.19,270015.27,1,48670.6611,56,51302.901300000005,0.0,56
106041.63,0.4,6,14,0.2,825664.56,0,63624.978,28,165132.912,106041.63,28
